row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
187,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,6.66666666666667,5.66666666666667,True,True,False
188,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.33333333333333,6.5,True,True,True
189,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,5.66666666666667,True,True,True
190,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,5.33333333333333,True,True,True
191,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.66666666666667,5.66666666666667,True,True,True
192,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.33333333333333,5.0,True,True,True
193,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,6.33333333333333,True,True,True
194,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.0,True,True,True
195,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.83333333333333,True,True,True
196,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.33333333333333,5.5,True,True,True
197,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.66666666666667,5.0,True,True,True
198,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,6.0,True,True,True
199,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.33333333333333,6.0,True,True,True
